,stn_name,stn_id,stn_lon,stn_lat,stn_ele,stn_obs_hgt,stn_mnet_id,stn_tmzn,stn_datetime_start,stn_datetime_end,stn_state,stn_county,stn_cwa,stn_notes
25,Los Angeles / Usc Campus Downtown,KCQT,-118.29122,34.02355,179.0,10.0,1,America/Los_Angeles,2000-01-10 00:00:00.000000,2020-09-08 23:37:00.000000,CA,Los Angeles,LOX, 
239,Los Angeles Nexrad,KVTX,-119.18333,34.41667,2808.0,10.0,1,America/Los_Angeles,2020-09-19 15:40:18.451254,2020-09-19 15:40:18.451254,CA,Ventura,LOX, 
46,"Los Angeles, Los Angeles International Airport",KLAX,-118.38889,33.93806,125.0,10.0,1,America/Los_Angeles,1997-04-12 00:00:00.000000,2020-09-08 23:20:00.000000,CA,Los Angeles,LOX, 
240,"Los Angeles, Whiteman Airport",KWHP,-118.4,34.25,1004.0,10.0,1,America/Los_Angeles,2004-11-18 00:00:00.000000,2020-09-08 22:55:00.000000,CA,Los Angeles,LOX, 
50,"Lovelock, Derby Field Airport",KLOL,-118.57017,40.0684,3901.0,10.0,1,America/Los_Angeles,1997-01-01 00:00:00.000000,2020-09-08 23:20:00.000000,NV,Pershing,REV, 
54,Madera Municipal Airport,KMAE,-120.11064,36.9851,246.0,10.0,1,America/Los_Angeles,1999-12-24 00:00:00.000000,2020-09-08 23:20:00.000000,CA,Madera,HNX, 
287,Madras Municipal Airport,KS33,-121.1564,44.6653,2427.0,10.0,1,America/Los_Angeles,2012-08-31 00:00:00.000000,2020-09-08 23:35:00.000000,OR,Jefferson,PDT, 
218,Malibu Beach,KL55,-118.68333,34.03333,456.0,10.0,1,America/Los_Angeles,2020-09-19 15:40:18.451084,2020-09-19 15:40:18.451084,CA,Los Angeles,LOX, 
62,Mammoth Yosemite Airport,KMMH,-118.8423,37.6241,7112.0,10.0,1,America/Los_Angeles,1998-07-14 00:00:00.000000,2020-09-08 23:37:00.000000,CA,Mono,REV, 
277,March Afb/88D,KRIX,-116.57,33.55,1535.0,10.0,1,America/Los_Angeles,2020-09-19 15:40:18.454777,2020-09-19 15:40:18.454778,CA,Riverside,SGX, 
162,Marina Del Rey,K2L6,-118.43333,33.96667,26.0,10.0,1,America/Los_Angeles,2020-09-19 15:40:18.450599,2020-09-19 15:40:18.450599,CA,Los Angeles,LOX, 
10,"Marysville, Beale Air Force Base",KBAB,-121.43333,39.13333,112.0,10.0,1,America/Los_Angeles,1997-04-12 00:00:00.000000,2020-09-08 23:16:00.000000,CA,Yuba,STO, 
66,"Marysville, Yuba County Airport",KMYV,-121.56972,39.09778,62.0,10.0,1,America/Los_Angeles,1997-04-12 00:00:00.000000,2020-09-08 23:20:00.000000,CA,Yuba,STO, 
286,Mcmwtc Bridgeport,KBAN,-119.5188,38.3557,6748.0,10.0,1,America/Los_Angeles,2012-08-09 00:00:00.000000,2020-09-08 22:52:00.000000,CA,Mono,REV, 
253,Mcolf Camp Pendleton (Red Beach),KNXF,-117.4565,33.2856,88.0,10.0,1,America/Los_Angeles,2010-01-27 00:00:00.000000,2020-06-16 21:56:00.000000,CA,San Diego,SGX, 
224,Medford Nexrad,KMAX,-122.71583,42.08083,7513.0,10.0,1,America/Los_Angeles,2020-09-19 15:40:18.451110,2020-09-19 15:40:18.451111,OR,Jackson,MFR, 
57,Merced / Castle Air Force Base,KMER,-120.56667,37.36667,187.0,10.0,1,America/Los_Angeles,1999-06-30 00:00:00.000000,2020-09-08 23:40:00.000000,CA,Merced,HNX, 
56,Merced Regional Airport,KMCE,-120.50778,37.28306,154.0,10.0,1,America/Los_Angeles,1997-04-12 00:00:00.000000,2020-09-08 23:20:00.000000,CA,Merced,HNX, 
